English,Portuguese,Inupiaq,initial_presentation_cycles.thisRepN,initial_presentation_cycles.thisTrialN,initial_presentation_cycles.thisN,initial_presentation_cycles.thisIndex,initial_presentation_trials.thisRepN,initial_presentation_trials.thisTrialN,initial_presentation_trials.thisN,initial_presentation_trials.thisIndex,practice_phase_blocks.thisRepN,practice_phase_blocks.thisTrialN,practice_phase_blocks.thisN,practice_phase_blocks.thisIndex,practice_phase_cycles.thisRepN,practice_phase_cycles.thisTrialN,practice_phase_cycles.thisN,practice_phase_cycles.thisIndex,practice_phase_trials.thisRepN,practice_phase_trials.thisTrialN,practice_phase_trials.thisN,practice_phase_trials.thisIndex,final_test_trials.thisRepN,final_test_trials.thisTrialN,final_test_trials.thisN,final_test_trials.thisIndex,instr_msg.started,instr_resp.started,instr_resp.keys,instr_resp.rt,cue_practice.started,target_practice.started,resp_practice.started,condition_name.started,Inupiaq_cue,current_condition,resp_practice,cue_final.started,resp_final.started,target_final.started,resp_final,thanks_msg.started,participant,session,date,expName,psychopyVersion,frameRate,
snail,lesma,uvixu,,,,,,,,,1,0,1,0,5,0,5,0,0,0,0,1,,,,,,,,,95.7518356999999,95.7518356999999,95.7518356999999,95.7518356999999,u v i x u,acumulação,fffff,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,,,,,,,,,1,0,1,0,5,0,5,0,0,1,1,3,,,,,,,,,96.6194975999997,96.6194975999997,96.6194975999997,96.6194975999997,q i x a k,somente estudo,xxxxx,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,,,,,,,,,1,0,1,0,5,0,5,0,0,2,2,2,,,,,,,,,98.6671495999999,98.6671495999999,98.6671495999999,98.6671495999999,t a q t u,acumulação,xxxxx,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,,,,,,,,,1,0,1,0,5,0,5,0,0,3,3,0,,,,,,,,,105.86722649999956,105.86722649999956,105.86722649999956,105.86722649999956,_ _ _ _ _,diminuição,xxxxx,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
mark,marca,aglak,,,,,,,,,1,0,1,0,5,0,5,0,0,4,4,4,,,,,,,,,108.7525955000001,108.7525955000001,108.7525955000001,108.7525955000001,a g l a k,somente estudo,xxxxx,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
duck,pato,mitiq,,,,,,,,,1,0,1,0,5,0,5,0,0,5,5,5,,,,,,,,,110.78502870000011,110.78502870000011,110.78502870000011,110.78502870000011,_ _ _ _ _,diminuição,xxxxx,,,,,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
thread,fio,ivalu,,,,,,,,,,,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,112.88468470000043,112.88468470000043,112.88468470000043,xxxxxxx,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
heaven,paraíso,qixak,,,,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,120.20038250000016,120.20038250000016,120.20038250000016,dxsds,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
tea,chá,saiyu,,,,,,,,,,,,,,,,,,,,,0,2,2,10,,,,,,,,,,,,126.93250119999993,126.93250119999993,126.93250119999993,fsfsdfsf,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
rainbow,arco-íris,nigaq,,,,,,,,,,,,,,,,,,,,,0,3,3,7,,,,,,,,,,,,128.60075549999965,128.60075549999965,128.60075549999965,dfsfsdfs,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
sled,trenó,uniat,,,,,,,,,,,,,,,,,,,,,0,4,4,8,,,,,,,,,,,,129.58436139999958,129.58436139999958,129.58436139999958,fdfsfsf,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
snail,lesma,uvixu,,,,,,,,,,,,,,,,,,,,,0,5,5,9,,,,,,,,,,,,130.3507569000003,130.3507569000003,130.3507569000003,fsfsfsdf,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
kidney,rim,taqtu,,,,,,,,,,,,,,,,,,,,,0,6,6,5,,,,,,,,,,,,131.13292060000003,131.13292060000003,131.13292060000003,sfsdfsdf,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
duck,pato,mitiq,,,,,,,,,,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,,131.88486190000003,131.88486190000003,131.88486190000003,dfsfsdf,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
boot,bota,kamik,,,,,,,,,,,,,,,,,,,,,0,8,8,0,,,,,,,,,,,,132.66558929999974,132.66558929999974,132.66558929999974,fdsfsf,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
cliff,penhasco,ikpik,,,,,,,,,,,,,,,,,,,,,0,9,9,1,,,,,,,,,,,,133.45081949999985,133.45081949999985,133.45081949999985,dfsdfsdf,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
mark,marca,aglak,,,,,,,,,,,,,,,,,,,,,0,10,10,6,,,,,,,,,,,,134.2842295999999,134.2842295999999,134.2842295999999,dfsdfsdf,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
dust,pó,apyuq,,,,,,,,,,,,,,,,,,,,,0,11,11,3,,,,,,,,,,,,135.08418849999998,135.08418849999998,135.08418849999998,dfsdfs,,,001,2022-07-26_10h50.12.013,finley_et_al,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.9332784999997,,,,,,,
